No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
124,12 microns (IRAS),1.064,7.0,7.0,Jy,24979999600000.0,1.064,0.07448,0.07448,,,26578719574400.0,1860510370208.0,1860510370208.0,,,IRAS,Survey array,12.0,microns,flux in fixed aperture,1990IRASF.C...0000M
125,12 microns (IRAS),3.21,0.048,0.048,Jy,24979999600000.0,3.21,0.048,0.048,,,80185798716000.0,1199039980800.0,1199039980800.0,,,IRAS,Survey array,12.0,microns,integrated from scans,1989AJ.....98..766S
126,NEII_1 (VLT),6.1,0.5,0.5,mJy,24400000712704.0,0.0061,0.0005,0.0005,,,148840004347.494,12200000356.352,12200000356.352,,,VLT,VISIR,12.27,microns,flux in fixed aperture,2014MNRAS.439.1648A
127,Ne II_1 (ESO),,,,mJy,24400000700000.0,,,,0.022,,,,,536800015400.0,,VLT,VISIR,12.27,microns,from fitting to map,2008A&A...479..389H
128,22 microns (WISE),4077.9,127.47,127.47,mJy,13600000311296.0,4.078,0.1275,0.1275,,,55460801269465.1,1734000039690.24,1734000039690.24,,,WISE,1024x1024 pixel detector array,22.0,microns,flux in fixed aperture,2014A&A...565A.128C
129,22 microns (WISE),4156.8,187.9,187.9,mJy,13600000311296.0,4.157,0.1879,0.1879,,,56535201294057.5,2555440058492.52,2555440058492.52,,,WISE,1024x1024 pixel detector array,22.08,microns,flux in fixed aperture,2014A&A...570A..69B
130,W4 (WISE),3.592,0.112,0.112,mag,13572455010118.5,0.305884100681875,0.0315537228345461,0.0315537228345461,,,4151598194815.3,428261483573.625,428261483573.625,,,WISE,1024x1024 pixel detector array,22.0883,microns,flux in fixed aperture,2013wise.rept....1C
131,W4 (WISE),3.302,0.106,0.106,mag,13572455010118.5,0.399536907453054,0.0390066316333794,0.0390066316333794,,,5422696701288.45,529415752940.306,529415752940.306,,,WISE,1024x1024 pixel detector array,22.0883,microns,flux in fixed aperture,2013wise.rept....1C
132,W4 (WISE),3.272,0.031,0.031,mag,13572455010118.5,0.410730452564788,0.0117271985346983,0.0117271985346983,,,5574620588721.19,159166874506.92,159166874506.92,,,WISE,1024x1024 pixel detector array,22.0883,microns,from fitting to map,2013wise.rept....1C
133,24 microns (MIPS),313450.0,120.56,120.56,uJy,12660154476351.4,0.3134544,0.000120559384615,0.000120559384615,,,3968381125292.04,1526300432.79976,1526300432.79976,,,Spitzer,MIPS,23.68,microns,modelled datum,2013SSTSLC4.2....0C
134,24 microns (MIPS),396330.0,78.953,78.953,uJy,12660154476351.4,0.3963288,7.895328e-05,7.895328e-05,,,5017583831426.98,999560721.214625,999560721.214625,,,Spitzer,MIPS,23.68,microns,flux in fixed aperture,2013SSTSLC4.2....0C
135,25 microns (IRAS),4.9,0.051,0.051,Jy,12000000200000.0,4.9,0.051,0.051,,,58800000980000.0,612000010200.0,612000010200.0,,,IRAS,Survey array,25.0,microns,total flux; beam filling or dilution corrected,2003AJ....126.1607S
136,25 microns (IRAS),4.9,0.059,0.059,Jy,11989999900000.0,4.9,0.059,0.059,,,58750999510000.0,707409994100.0,707409994100.0,,,IRAS,Survey array,25.0,microns,integrated from scans,1989AJ.....98..766S
137,25 microns (IRAS),1.401,8.0,8.0,Jy,11989999900000.0,1.401,0.08512,0.08512,,,16797989859900.0,1020588791488.0,1020588791488.0,,,IRAS,Survey array,25.0,microns,flux in fixed aperture,1990IRASF.C...0000M
138,60 microns (IRAS),37.27,0.073,0.073,Jy,4999999910000.0,37.27,0.073,0.073,,,186349996645700.0,364999993430.0,364999993430.0,,,IRAS,Survey array,60.0,microns,total flux; beam filling or dilution corrected,2003AJ....126.1607S
139,60 microns (IRAS),37.53,0.076,0.076,Jy,4996999940000.0,37.53,0.076,0.076,,,187537407748200.0,379771995440.0,379771995440.0,,,IRAS,Survey array,60.0,microns,integrated from scans,1989AJ.....98..766S
140,60 microns (IRAS),23.64,7.0,7.0,Jy,4996999940000.0,23.64,1.655,1.655,,,118129078581600.0,8270034900700.0,8270034900700.0,,,IRAS,Survey array,60.0,microns,flux in fixed aperture,1990IRASF.C...0000M
141,100 microns (IRAS),78.74,0.088,0.088,Jy,3000000050000.0,78.74,0.088,0.088,,,236220003937000.0,264000004400.0,264000004400.0,,,IRAS,Survey array,100.0,microns,total flux; beam filling or dilution corrected,2003AJ....126.1607S
142,100 microns (IRAS),64.65,8.0,8.0,Jy,2997999890000.0,64.65,5.172,5.172,,,193820692888500.0,15505655431080.0,15505655431080.0,,,IRAS,Survey array,100.0,microns,flux in fixed aperture,1990IRASF.C...0000M
143,100 microns (IRAS),79.65,0.095,0.095,Jy,2997999890000.0,79.65,0.095,0.095,,,238790691238500.0,284809989550.0,284809989550.0,,,IRAS,Survey array,100.0,microns,integrated from scans,1989AJ.....98..766S
144,100 microns (PACS),102.907,5.799,5.799,Jy,2930000003072.0,102.9,5.799,5.799,,,301497000316109.0,16991070017814.5,16991070017814.5,,,Herschel,PACS,102.3,microns,flux integrated from map or image,2014MNRAS.440..942C
145,160 microns (PACS),118.6,6.85,6.85,Jy,1809999986688.0,118.6,6.85,6.85,,,214665998421197.0,12398499908812.8,12398499908812.8,,,Herschel,PACS,166.0,microns,flux integrated from map or image,2014MNRAS.440..942C
146,170 microns (ISO),,,,Jy,1759999950000.0,,,,,11.3,,,,,19887999435000.0,ISO,ISOPHOT,170.0,microns,integrated from scans,2004A&A...422...39S
147,450 microns (SCUBA),4602.0,172.0,172.0,mJy,666000032000.0,4.602,0.172,0.172,,,3064932147264.0,114552005504.0,114552005504.0,,,JCMT,SCUBA,450.0,microns,flux in fixed aperture,2005MNRAS.357..361S
148,850 microns (SCUBA),705.0,20.0,20.0,mJy,352999997000.0,0.705,0.02,0.02,,,248864997885.0,7059999940.0,7059999940.0,,,JCMT,SCUBA,850.0,microns,flux in fixed aperture,2005MNRAS.357..361S
149,23 GHz (WMAP),969.0,180.0,180.0,mJy,23000000512.0,0.969,0.18,0.18,,,22287000496.128,4140000092.16,4140000092.16,,,WMAP,?,23.0,GHz,flux integrated from map or image,2009MNRAS.392..733M
150,10.55 GHz Effelsberg,26.0,6.0,6.0,mJy,10599999500.0,0.026,0.006,0.006,,,275599987.0,63599997.0,63599997.0,,,Effelsberg,?,10.55,GHz,total flux; beam filling or dilution corrected,2004A&A...418....1V
151,8.6 GHz Effelsberg,32.0,4.0,4.0,mJy,8600000510.0,0.032,0.004,0.004,,,275200016.32,34400002.04,34400002.04,,,Effelsberg,?,8.6,GHz,total flux; beam filling or dilution corrected,2004A&A...418....1V
